temperature,humidity,datetime
24.0,39.0,2022-10-22 18:11:33.566077
24.0,39.0,2022-10-22 18:11:34.091765
24.0,39.0,2022-10-22 18:11:34.617659
24.0,39.0,2022-10-22 18:11:35.143524
24.0,39.0,2022-10-22 18:11:35.669447
24.0,39.0,2022-10-22 18:11:36.195376
24.0,39.0,2022-10-22 18:11:36.721214
24.0,39.0,2022-10-22 18:11:37.247144
24.0,39.0,2022-10-22 18:11:37.772992
24.0,39.0,2022-10-22 18:11:38.298848
24.0,39.0,2022-10-22 18:11:43.880536
24.0,39.0,2022-10-22 18:11:44.406476
24.0,39.0,2022-10-22 18:11:44.932361
24.0,39.0,2022-10-22 18:11:45.458233
24.0,39.0,2022-10-22 18:11:45.984060
24.0,39.0,2022-10-22 18:11:46.509908
24.0,39.0,2022-10-22 18:11:47.035746
24.0,39.0,2022-10-22 18:11:47.561614
24.0,39.0,2022-10-22 18:11:50.615407
24.0,39.0,2022-10-22 18:11:51.141208
24.0,39.0,2022-10-22 18:11:51.667132
24.0,39.0,2022-10-22 18:11:52.192969
24.0,39.0,2022-10-22 18:11:52.718813
24.0,39.0,2022-10-22 18:11:53.244662
24.0,39.0,2022-10-22 18:11:53.770501
24.0,39.0,2022-10-22 18:11:54.296421
24.0,39.0,2022-10-22 18:11:54.822262
24.0,39.0,2022-10-22 18:11:55.348103
24.0,39.0,2022-10-22 18:11:58.404710
24.0,39.0,2022-10-22 18:11:58.930592
24.0,39.0,2022-10-22 18:11:59.456602
24.0,39.0,2022-10-22 18:11:59.982463
24.0,39.0,2022-10-22 18:12:00.508309
24.0,39.0,2022-10-22 18:12:01.034155
24.0,39.0,2022-10-22 18:12:01.560014
24.0,39.0,2022-10-22 18:12:02.085893
24.0,39.0,2022-10-22 18:12:02.611755
24.0,39.0,2022-10-22 18:12:03.137660
24.0,39.0,2022-10-22 18:12:03.663480
24.0,39.0,2022-10-22 18:12:04.189130
24.0,39.0,2022-10-22 18:12:04.714974
24.0,39.0,2022-10-22 18:12:05.240831
24.0,39.0,2022-10-22 18:12:05.766789
24.0,39.0,2022-10-22 18:12:06.292683
24.0,39.0,2022-10-22 18:12:06.818527
24.0,39.0,2022-10-22 18:12:07.344378
24.0,39.0,2022-10-22 18:12:07.870244
24.0,39.0,2022-10-22 18:12:08.396169
24.0,39.0,2022-10-22 18:12:08.922331
